App ID, App Name
34178,Napoleon: Total War - Coalition Battle Pack
34179,Napoleon: Total War - Peninsular Campaign
34180,Vancouver 2010: The Official Video Game of the Olympic Winter Games
34184,Napoleon: Total War - Community Reward Unit
34189,Napoleon: Total War - UNUSED Campaign
34200,Aliens vs Predator Demo
34220,Football Manager 2011
34229,Football Manager 2011
34250,Total War: Shogun 2 Dev
34270,SEGA Mega Drive & Genesis Classics
34272,Comix Zone
34273,Crack Down
34274,Ecco the Dolphin
34275,Gain Ground
34276,Golden Axe
34277,Shinobi 3
34278,Sonic 3D Blast
34279,Space Harrier II
34280,Vectorman
34281,Altered Beast
34282,Shadow Dancer
34283,Alex Kidd in the Enchanted Castle
34284,Bonanza Bros
34285,Columns
34286,Dr. Robotnik's Mean Bean Machine
34287,Ecco Jr.
34288,Eternal Champions
34289,Fatal Labyrinth
34310,Galaxy Force II
34311,Kid Chameleon
33540,Dawn of Magic 2
33549,Dawn of Magic 2
33550,Time of Shadows
33559,Time of Shadows
33560,Tropico 3 - Demo
33570,Patrician III
33580,The Great Art Race
33600,Broken Sword 2 - the Smoking Mirror: Remastered
33610,Broken Sword 3 - the Sleeping Dragon
33620,Crash Time III
33630,Crash Time III - Demo
33650,Puzzler World 
33660,Ziro
33670,Disciples III: Renaissance
33680,Eversion 
33700,Paws & Claws: Pampered Pets
33710,Paws & Claws: Pet School
33720,Paws & Claws: Pet Vet
33730,18 Wheels of Steel: Extreme Trucker
33740,John Deere: Drive Green
33750,Prison Tycoon 4: Supermax
33760,Amelia Earhart
33770,Drakensang The River of Time
33780,Drakensang 2 - Phileasson's Secret
33790,Elizabeth Find M.D. - Diagnosis Mystery - Season 2
33900,Arma 2
33905,ARMA 2 Dedicated Server
33909,Arma 2
33910,Arma 2
33919,ARMA 2
33920,Arma 2 Demo
33930,Arma 2: Operation Arrowhead
33934,Arma 2: Army of the Czech Republic DLC
33935,Arma 2: Operation Arrowhead - Dedicated Server
33936,ValveTestApp33936
33950,The Fish Fillets 2
33960,ARMA II: British Armed Forces
33970,Arma 2: Operation Arrowhead Demo
33980,Pound of Ground
33990,AlternativA
34000,Football Manager 2010
34009,Football Manager 2010
34010,Alpha Protocol
34019,Alpha Protocol
34039,Napoleon: Total War
33220,Tom Clancy's Splinter Cell: Conviction
33229,Tom Clancy's Splinter Cell Conviction
33242,Tom Clancy's Splinter Cell Conviction - Insurgency Pack - Mac
33245,Tom Clancy's Splinter Cell Conviction - Deluxe CD Key Mac
33246,Tom Clancy's Splinter Cell Conviction - Standard CD Key Mac
33250,Anno 1404
33259,Anno 1404
33260,Heroes Over Europe
33270,Cloudy with a Chance of Meatballs
33280,James Cameron’s Avatar™: The Game
33287,James Cameron's Avatar - Standard CD Key
33288,James Cameron's Avatar - Limited Edition CD Key
