AppID,App Name,All Review,All Percent,All People
2028850,Bioshock Infinite: Columbia's Finest,None,None,None
972980,The Cursed Forest Demo,Very Positive,89%,201
973060,Evil Maze 2,None,None,None
972770,Thousand Threads,None,None,None
972840,Cursed Mansion Demo,None,None,None
972070,The Tribe,None,None,None
972090,Little Memories Demo,None,None,None
972150,Amaze VR - Rom Com Pack 1,None,None,None
972360,Skeletal Dance Party - Soundtrack,None,None,None
971910,NALOGI – PENSIYA Pack,None,None,None
972060,Tempus Tormentum,None,None,None
971750,NITE Team 4: Network Administrator,None,None,None
970930,NEONARCADE: adventure puzzle muse - Soundtrack,None,None,None
970990,Theatre of Doom Soundtrack,None,None,None
971230,Daedalic Complex,None,None,None
970460,Spot The Oddity,None,None,None
970470,Emerald Shores,None,None,None
970520,Bendy and the Ink Machine: Demo,Very Positive,85%,731
970550,Color Chain,None,None,None
970620,Castle Rencounter,None,None,None
970820,Burnouts,None,None,None
970860,National Girls,None,None,None
969890,scralloween,None,None,None
969920,Phantom Doctrine - Halloween Scare Tactics DLC,None,None,1
970000,Puzzles for smart: Horses,None,None,None
970260,Hulì The Mage,None,None,None
970270,Apartment 327 Demo,None,None,None
970360,The Last Sphinx ARG,None,None,None
966750,Fantasy Grounds - The Derelict (CoC7E),None,None,None
966800,The Chair,None,None,None
966810,Head,None,None,None
966820,The Barn,None,None,None
966830,Be My Cat: A Film for Anne,None,None,None
967010,Fallstreak - Fan Pack,None,None,None
967020,Gender Bender,None,None,None
967120,Cursed Mansion,None,None,None
967130,XWidget,None,None,None
967160,The Olivia Saga,None,None,None
966440,RedEyes Material Animation SV Monster,None,None,None
966450,I'm the Koala,None,None,None
966530,You have a drunk friend,None,None,None
966580,Zquirrels Jump,None,None,None
966590,Beat Blocks VR,None,None,None
966610,FPS Monitor,None,None,None
966640,The Ultimate Clicker Master of the Universe - Starter Kit,None,None,None
966680,Red Matter,None,None,None
965950,Pathfinder: Kingmaker - Bloody Mess,Mostly Positive,78%,33
965980,Aborigenus - OST,None,None,None
966010,Anstorm,None,None,None
966020,Trivia Clash: Adult Film Star Edition,None,None,None
966030,All For One Open Beta,None,None,None
966130,Yuzi Lims: Hentai - Soundtrack,None,None,None
966230,卡哇伊女孩 ~ Kawaii Girls (づ｡◕‿‿◕｡)づ,None,None,None
966240,Ocean's Treasures,None,None,None
966350,Frostpunk Original Soundtrack,None,None,4
966360,Hiveswap Friendsim - Volume Fifteen,None,None,7
966370,Bravado,None,None,None
966380,Countrycide,None,None,None
966400,Speaking Simulator,None,None,None
966410,Damsel Original Soundtrack,None,None,None
965480,Campfire Pro,None,None,None
965490,Propaganda Llama,None,None,None
965530,The Puppet of Tersa Demo,None,None,None
965680,Boomerang Fu,None,None,None
965780,Pleasure Puzzle:Workshop - Part 1,None,None,None
965781,Pleasure Puzzle:Workshop - Part 2,None,None,None
965830,Deported: Drain the Swamp,None,None,None
965910,Moreau,None,None,None
965040,CarX Drift Racing Online - CarX Halloween,None,None,None
965050,The Hermit,None,None,None
965070,EduNumbers,None,None,None
965110,Space Gladiator,None,None,None
965130,History Table: Lore & Quiz,None,None,None
965160,KAMASUTRA \ 爱经,None,None,None
965280,Masters of Puzzle - Halloween Edition: Chess on Halloween Eve,None,None,None
965290,Riddles of the Owls Kingdom - Soundtrack,None,None,None
965360,I Can Gun,None,None,None
965370,Masters of Puzzle - Halloween Edition: Sing Me a Pumpkin,None,None,None
965400,TIGER GAME ROM KNIFE,None,None,None
965450,OnSpace,None,None,None
964720,Bombman,None,None,None
964770,Deathdays End,None,None,None
964780,OUTWORLD BATTLEGROUNDS Demo,None,None,None
964810,SHELL,None,None,None
964880,Caliban Below — The Abbot’s Book — A Short Story,None,None,None
964920,Space Tycoon,None,None,None
964970,蔚蓝月下,None,None,None
964250,HOKUSAI Expansion Pack,None,None,None
964290,妄想症 Deliver Me Cosplay Album,None,None,None
964300,异种战争少女,None,None,None
964370,Party Hard 2 OST,None,None,None
964450,Control Freak,None,None,None
964460,VR Rome,None,None,None
964480,Grand Designer Features pack,None,None,None
964530,GameGuru - Medical Pack,None,None,None
964540,Sharknado VR Demo,None,None,None
964590,Accounting+ Soundtrack,None,None,None
964600,EBOLA.VI.CORP,None,None,None
963750,Merrily Perilly Soundtrack + Art Book,None,None,None
963770,Welcome To... Chichester Redux : The Spy Of America And The Long Vacation,None,None,None
963780,Project Police,None,None,None
963830,A Flappy Bird in Real Life,None,None,None
963860,Invaders from Dimension X,None,None,None
963870,Valor & Victory,None,None,None
963930,Contractors VR,None,None,None
963940,Edge,None,None,None
964000,Bonds Demo,None,None,None
964130,My Colony,None,None,None
964180,Late'O'Clock,None,None,None
964190,ANSIBLE,None,None,None
964210,Mr Husky,None,None,None
964220,Vampire Bloody Star X,None,None,None
963280,Talk to Strangers,None,None,None
963290,Heroes of Fortunia,None,None,None
963320,Bear Vs Hunter,None,None,None
963330,Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ),None,None,None
963360,Run Dant Run,None,None,None
963370,PRiCERPG,None,None,None
963400,SCP: Blackout,None,None,None
963410,Fantasy Grounds - The Haunting (CoC7E),None,None,None
963420,PRiCERPG Demo,None,None,None
963470,A Sound Plan,None,None,None
963500,东方胖次争夺战 TouHou Pants Contest,None,None,None
963600,Lu Bu Maker 여포 키우기 OST,None,None,None
963680,Clad in Iron: Sakhalin 1904,None,None,None
963690,Hentai Girl Betty,None,None,None
963710,Lost in Vivo,None,None,None
963740,TITAN HUNTER - Starter Pack,None,None,None
962880,Godspeed,None,None,None
962920,Super Weasel Kid - Original Soundtrack,None,None,None
962921,Combat Arena X - Original Soundtrack,None,None,None
962922,Secrets of Legendaria - Original Soundtrack,None,None,None
962923,Waste World - Original Soundtrack,None,None,None
962924,Vicious Galaxy II - Original Soundtrack,None,None,None
962925,Walk - Original Soundtrack,None,None,None
962950,执行人 Executor,None,None,None
962960,Don't Starve Together: Hallowed Nights Belongings Chest,None,None,5
962970,My 1/6 Lover,None,None,None
962990,BLACK BIRD Premium Pack,None,None,None
963000,"The Haunted Island, a Frog Detective Game",None,None,None
963010,KIMIHEOKURU SORA NO HANA,None,None,None
963020,Ponkle,None,None,None
963040,Webcam World View,None,None,None
963080,Accurate Segmentation 3,None,None,None
963150,Pirate Survival Fantasy Shooter,None,None,None
963170,Citadale - The Ancestral Strain,None,None,2
963190,Pixel World,None,None,None
963200,PixNautiCraft,None,None,None
963260,Nantucket - Songs of the Braves,None,None,None
962370,The Silver Crusade: Aoorha Axeman,None,None,None
962430,Warface - Free Anniversary Pack,Positive,93%,33
962450,Best Of Fight,None,None,None
962490,机能女孩-Energy Girl,None,None,None
962500,Robothorium - Skin pack,None,None,None
962540,System Crash - Underworld,None,None,None
962580,Summer in Mara,None,None,None
962590,TYRED Demo,None,None,3
962610,IScream,None,None,None
962640,Lume - Alpha Release,None,None,None
962650,梦缚,None,None,None
962700,Mountains of Madness,None,None,None
962710,We Must Praise Our Glorious Leader The Flumf,None,None,None
962760,Ghost Squad,None,None,None
962770,共产主义女孩 ~ ☭ Communism（￣ー￣）,None,None,None
962780,Fantasy Grounds - A07: Alchemist's Errand (Savage Worlds),None,None,None
962820,The Ditzy Demons Are in Love With Me - Opening/Ending Theme Songs,None,None,None
961910,Charm Tale 2: Mermaid Lagoon,None,None,None
961920,Romantic Journey,None,None,None
961930,Battle Brothers - Beasts & Exploration,None,None,None
961960,Varenje: Collectors Edition,None,None,None
961990,Photo & Graphic Designer 16 Steam Edition,None,None,None
962050,Puzzles for smart: Birds,None,None,None
962070,Angry King,None,None,None
962080,Dangerous Ground,None,None,None
962120,Kontrakt OST,None,None,None
962140,Joggernauts OST,None,None,None
962160,The Glass Coffin,None,None,None
962180,Cab Driver Commander Awesome Soundtrack,None,None,None
962181,Cab Driver Commander Dazzling Wallpapers,None,None,None
962190,Lucid Dream Demo,Positive,88%,27
962220,Tactics Arena,None,None,None
962240,Tiger Tank 59 Ⅰ A-Gun,None,None,None
962270,Time Virus,None,None,None
961471,Moe Jigsaw - Kamigakari Cross Heart! vol.2 Pack,None,None,None
961472,Moe Jigsaw - Witch's Garden vol.2 Pack,None,None,None
961510,MarisaLand Legacy,None,None,None
961520,Catburglar Demo,None,None,None
961560,DarkTrail,None,None,None
961630,Tower Hunter:Erza's Trial - OST,None,None,None
961700,NekoCharm,None,None,None
961710,Puzzle Out VR,None,None,None
961720,Xenochamber,None,None,None
961740,Quantum Retribution,None,None,None
961780,Gift of Parthax - Digital Soundtrack,None,None,None
961830,In Memory Official Soundtrack,None,None,None
961840,"Warhammer 40,000: Gladius - Reinforcement Pack",Positive,90%,10
961870,TOLTEC AND THE MYSTERIES OF THE SECRET ISLAND,None,None,None
960980,Apsulov: End of Gods,None,None,None
961010,The Hand of Glory,None,None,None
961020,Royal Wedding Quest! Demo,None,None,None
961030,Node,None,None,None
961040,Down to Hell,None,None,None
961110,Prixel,None,None,None
961160,Evolvation - Music Pack,None,None,None
961170,North Korea: Life Inside the Secret State,None,None,None
961180,Hell Girls,None,None,None
961210,7-minute HOP,None,None,None
961220,Sanatorium Purgatorium,None,None,None
961230,"Backgammon, Chess & Checkers",None,None,None
961240,CastleGuard,None,None,None
961270,HENTAI CASINO \ 性赌场,None,None,None
961280,Cargo Cult,None,None,None
961330,Stripperland,None,None,None
961470,Moe Jigsaw - Shin Koihime†Musou vol.4 Pack,None,None,None
960550,Distress: A Choice-Driven Sci-Fi Adventure,None,None,None
960600,Nanoswarm,None,None,None
960610,The Gameshow,None,None,None
960620,Masters of Puzzle - Halloween Edition: Pumpkin Garden House,None,None,None
960650,Royal Wedding Quest!,None,None,None
960680,Fairy Tale Diaries,None,None,None
960700,GUNS 'n GUTS,None,None,None
960710,DON'T GIVE UP: A Cynical Tale,None,None,None
960720,RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION - HIGH RESOLUTION TEXTURE PACK,None,None,6
960770,Moe Jigsaw - Sengoku†Koihime Pack,None,None,None
960790,DON'T GIVE UP: A Cynical Tale Demo,None,None,None
960820,Data mining 2,None,None,None
960890,Adolescent Santa Claus OST And ART,None,None,1
969550,Spoorky Demo,None,None,None
969560,Coloring Pixels - Emoji Pack,None,None,None
969620,Seven days with the Ghost - Original Soundtrack,None,None,None
969710,Super Meat Boy Race Mode,None,None,5
969740,Yearning,None,None,None
969860,Corrupt The Priest,None,None,None
969070,World of Guns: XIX Century Pack #1,None,None,None
969130,The Lost Soul,None,None,None
969160,OCTOPTICOM Demo,None,None,1
969230,Death Space,None,None,None
969260,Ballistic Overkill - Marksman: Secret Agent,None,None,None
969261,Ballistic Overkill - Shadow: Red Leader,None,None,None
969262,Ballistic Overkill - Grenadier: Mad Bomber,None,None,None
969270,Glass Masquerade - Halloween Puzzle Pack,None,None,1
969280,Letzte Worte VR Demo,None,None,None
969290,The Claire Wizard Thesis,None,None,None
969300,Del Playa,None,None,None
969310,The Documentary,None,None,None
969320,The Drifter,None,None,None
969410,"Clinton, Inc.",None,None,None
969430,LUXO Buddies - Expansion Pack 1,None,None,None
968710,Hazelnut Bastille,None,None,None
968740,Vile - Album,None,None,None
968750,Moreau Demo,None,None,None
968780,Fairyland: Fairylines,None,None,None
968930,The Fur in Me,None,None,None
968990,Mean Routine,None,None,None
968160,Doca 2,None,None,None
968170,[it's possible],None,None,None
968180,Hypatia - Turbo Witch,None,None,None
968210,Predicate,None,None,None
968220,Wish Giver - Reward 1$,None,None,None
968260,Behind The Schemes: S01E08,Positive,100%,13
968390,Deceit - Vampire Pack,Positive,92%,39
968410,AstroGenesis,None,None,None
968450,Hentai Puzzle Classic,None,None,None
968460,Mine Royale - Battle Royale,None,None,None
968470,Bunny Mahjo,None,None,None
968560,Gravity Wars: Black Hole,None,None,None
968580,Halloween Puzzles,None,None,None
968590,Super Urban Wizard,None,None,None
967910,Galactic Incoming,None,None,None
967920,Hentai Loli vs Pedobear,None,None,None
967960,Spray Dynamite X Radioactive Insects,None,None,None
967250,DOKA 2 KISHKI EDITION,None,None,None
