AppID,App Name,All Review,All Percent,All People
972980,The Cursed Forest Demo,Very Positive,88%,209
970520,Bendy and the Ink Machine: Demo,Very Positive,85%,"1,314"
965950,Pathfinder: Kingmaker - Bloody Mess,Positive,80%,40
962190,Lucid Dream Demo,Positive,84%,33
961840,"Warhammer 40,000: Gladius - Reinforcement Pack",Positive,92%,14
968260,Behind The Schemes: S01E08,Positive,100%,13
968390,Deceit - Vampire Pack,Very Positive,91%,56
907160,Project Skylab,Mostly Negative,25%,27
907290,I’m not a Monster Demo,Very Positive,88%,185
907330,Amulet Zero 零物语 - Optimize,Positive,100%,11
907370,Mirror: The Lost Shards,Overwhelmingly Positive,96%,"1,372"
906590,Dabwoman: When The Dab Isn’t sexist,Positive,84%,25
905730,Soul at Stake - Special Gestures,Positive,92%,14
905940,女神驾到,Mostly Negative,27%,552
905450,NASCAR Heat 3,Mixed,68%,94
904890,Neverliria,Positive,91%,12
904940,Les 4 Alice: Lorange Journey,Positive,100%,10
904960,Cine Tracer,Positive,84%,13
904990,21+,Positive,82%,28
905050,Graviteam Tactics: Raid,Positive,90%,11
905100,Neverliria Demo,Positive,91%,12
904260,Dungeon Fighter Online: Hatsune Miku Crossover Package,Positive,100%,14
904320,My Holiday,Very Positive,98%,116
904440,Type Defense,Positive,100%,14
904500,Grompula,Positive,94%,17
904580,Hiveswap Friendsim - Volume Eight,Positive,100%,17
904600,Small Sister,Mostly Negative,36%,11
903830,Cash Rush,Positive,80%,15
904130,Defense: Abominations,Positive,100%,16
903670,Dogs of War: Kill to Survive,Negative,15%,13
903150,FALL,Positive,100%,11
903160,Wunderwaffe,Positive,100%,12
900790,Bunny Minesweeper,Positive,87%,24
900270,Lonk's Adventure,Positive,100%,26
900280,Black Paradox Demo,Positive,89%,19
899940,校园恋物语|Love in School,Mostly Positive,76%,42
899970,NEKOPARA Extra,Overwhelmingly Positive,98%,"1,200"
900050,Amber's Airline - High Hopes,Positive,89%,28
900090,Beach Volleyball Detectives Part 1,Positive,92%,13
899760,Her,Positive,87%,32
899270,BlamBox,Positive,100%,21
899540,PROTEST,Mostly Positive,78%,14
898700,Aerofly FS 2 - USA South Florida,Positive,90%,11
898730,In The Long Run The Game Demo,Mostly Negative,33%,12
898740,Digital Resistance,Mostly Positive,74%,63
898780,Escape Game,Positive,92%,27
898960,Hyperdimension Neptunia Re;Birth1 New Content 1,Positive,82%,23
899100,SUM,Positive,92%,14
898350,SNIPER TANKS,Positive,100%,10
898450,UBERMOSH:SANTICIDE,Very Positive,96%,61
898570,Ni no Kuni II: REVENANT KINGDOM - Adventure Pack,Positive,100%,19
898580,Premium Bowling,Positive,94%,19
897760,PUT ANNA,Positive,95%,24
897800,Arcane Golf,Positive,95%,22
897820,Reigns: Game of Thrones,Very Positive,83%,342
898030,God's Basement Demo,Very Positive,83%,117
898090,立方杀阵（Cubic Kill Array）,Positive,100%,13
897300,Hacked: Hentai prison,Mostly Positive,77%,18
897690,Ding Dong VR,Positive,100%,20
896670,Ritual on the Eve 前夜祭,Positive,93%,33
896730,Dare Course,Positive,90%,10
896340,To Leave,Positive,100%,19
896460,Lucah: Born of a Dream,Very Positive,100%,71
895920,美丽新世界i Brave New World i,Mostly Positive,71%,113
895990,水时钟,Positive,92%,13
896000,LobotomyCorporation_ArtBook,Positive,100%,38
896030,Fortissimo FA INTL Ver,Mostly Positive,78%,60
896040,The Impure,Positive,95%,22
895470,EW/WE,Positive,88%,18
895530,Detached: Non-VR Edition Demo,Mostly Positive,78%,14
895600,Mojo,Very Positive,93%,61
894930,The Cage 笼,Positive,100%,18
895220,Leaflet Love Story,Very Positive,90%,218
894460,Crimson Gray: Dusk and Dawn,Positive,94%,36
894500,東周列萌志 Philosophic Love－升級包 Update Pack,Positive,100%,33
894540,ShyChess,Positive,87%,16
894630,Final Theory,Mostly Positive,79%,39
894390,Bernie’s Nightmare,Mostly Positive,70%,17
941100,Brawlhalla - Fall Championship 2018 Pack,Very Positive,98%,54
940300,Escape Legacy : Ancient Scrolls,Positive,86%,15
940520,Attractorache,Positive,87%,24
939840,theHunter™: Call of the Wild - Duck and Cover Pack,Positive,89%,49
940130,Red and Blue ~ Cycles of Existence,0,0,1
939340,Maze Of Adventures Demo,Positive,94%,19
939390,The Life of One Dog,Mostly Positive,73%,23
939400,LoveChoice 拣爱,Very Positive,94%,953
939620,Pleasure Puzzle:Portrait,Very Positive,98%,53
938940,天风之光 ~ Touhou Fan of Destiny,Negative,6%,29
939000,Crisis VRigade,Positive,82%,47
939060,Farm Together - Supporters Pack,Positive,96%,29
939070,Carly and the Reaperman Demo,Positive,95%,24
938490,Syrian Warfare: Battlefields,Positive,94%,36
938810,雨鸦 - You are my sanctuary,Positive,100%,19
938030,Glass Masquerade - Inceptions Puzzle Pack,Positive,95%,23
938250,Hentai: The Shell Game,Mostly Positive,78%,28
938300,CuberPunk 2089,Very Positive,96%,60
937890,Assassin's Creed Odyssey - Season Pass,Very Positive,91%,85
937140,Pixel Girl,Mostly Positive,78%,19
937210,МЫЛО УРОНИЛ,Positive,89%,46
937290,Cats Epic Puzzles,Positive,100%,19
936670,The Culling - Original Gangster Founder's Pack,Mixed,51%,88
936750,Fire Place Demo,Mixed,62%,24
935930,Reignfall,Positive,85%,35
935270,Great Hero's Beard,Very Positive,85%,478
935430,Battlerite Royale - Legendary Adventure Pack,Mostly Positive,76%,21
934650,World of Warships - Smith Steam Pack,Positive,83%,12
934900,The Free Ones Demo,Mostly Positive,77%,185
935070,Sakura MMO,Mostly Positive,75%,24
934540,Pleasure Puzzle:Sexy Girls,Mostly Positive,77%,27
934070,MochiMochi,Positive,100%,20
933610,Euro Truck Simulator 2 - Krone Trailer Pack,Very Positive,82%,361
933690,Trains of the Orient,Mostly Negative,22%,22
933504,Season Pass,Mostly Positive,72%,37
933450,Wenjia,Very Positive,92%,195
932980,Axis Football 2018,Mostly Positive,71%,91
933080,Fire Place,Mixed,62%,24
931920,Hiveswap Friendsim - Volume Eleven,Positive,100%,12
931930,The Haunted Graveyard,Positive,90%,21
931980,Outlaw Hoard,Positive,84%,13
932000,INVERSUS Deluxe Demo,Very Positive,97%,96
932240,Pushing Through...,Positive,93%,15
931460,Ninjin: Clash of Carrots Demo,Positive,100%,20
931670,Noel The Mortal Fate S8,Very Positive,100%,50
930840,东方百问~TouHouAsked,Positive,94%,18
930990,Rainbow Six Siege - Pro League Vigil Set,Positive,100%,30
930660,Shovel Knight - Rival DLC,Positive,100%,28
930780,Blood Card,Very Positive,81%,69
930100,Fox Hime Zero Cosplay Album,Positive,93%,16
930200,The Vagrant Cosplay Album,Mostly Positive,73%,15
930310,Puzzle Plunder,Positive,100%,27
930460,BOLSOMITO,Very Positive,88%,233
893770,Absolver - Adalian Forest Pack,Positive,96%,32
893150,Fury Strike,Mostly Negative,36%,22
893330,Voxel Race,Mostly Positive,74%,47
893510,Waifu Bay Resort,Negative,17%,17
893560,Spire of Sorcery – Character Generator,Positive,89%,19
892830,VRITRA COMPLETE EDITION,Positive,92%,13
893030,Music Racer,Very Positive,93%,792
893110,The mutton horn - Jump jump!,Positive,100%,12
892400,Hiveswap Friendsim - Volume Seven,Positive,100%,16
892550,Beauty and the Beast,Mostly Positive,71%,14
892560,PaulPaul - Act 1,Positive,100%,17
892580,Cuisine Royale - Godfather's cookbook,Positive,94%,17
891730,Monster Hunter: World - Deluxe Kit,Mixed,63%,219
891810,Spintires: MudRunner - American Wilds,Mixed,69%,131
891820,Hidden Folks - Beach Pack,Positive,89%,39
891860,Riddles of the Owls Kingdom,Mostly Positive,76%,46
891900,Horizon Chase Turbo Demo,Very Positive,97%,489
891920,THE ART - Puzzle,Positive,100%,22
891100,Ray of Light,Mostly Positive,75%,20
891130,SUPER FLAIL,Very Positive,93%,74
891230,Planet Coaster - Vintage Pack,Mostly Positive,75%,45
891301,War Thunder - Black Prince Pack,Mixed,41%,17
891510,Love's Sweet Garnish,Very Positive,98%,175
890570,Almost Alive,Very Positive,93%,105
890070,秋色的記憶(體驗版) / Fall...in Love (Demo),Very Positive,98%,68
890300,Kitrinos: Inside the Cube,Positive,87%,24
889590,Archangel™: Hellfire Demo,Mixed,66%,185
889630,A Light in the Dark Prologue Manga,Positive,92%,13
889740,The Oni Sellsword,Positive,92%,42
889770,UnHolY DisAsTeR,Very Positive,89%,73
889800,Bus Driver Simulator 2018 - Hungarian Legend,Positive,91%,12
889820,scrammunism,Positive,96%,28
889170,Battle Royale Builder,Positive,100%,21
889220,A Stickman Reality,Positive,83%,18
889240,Loot Box Simulator,Positive,86%,23
889270,Ninja from Hell vs. Reptiloids,Positive,100%,12
889320,The Plant,Positive,85%,20
889480,Virtual Virtual Reality,Very Positive,96%,197
888701,Varenje - Full Game DLC,Positive,81%,16
888990,Ameagari no Hanaby,Positive,100%,20
889010,Ameagari no Hanaby Demo,Positive,100%,20
889040,FPV Air 2,Very Positive,83%,59
888630,Another Sight,Positive,97%,41
888650,"Northgard - Sváfnir, Clan of the Snake",Mostly Positive,79%,84
888680,PRO EVOLUTION SOCCER 2019 DEMO,Mixed,43%,"1,555"
887970,Generation Streets,Positive,86%,44
888000,Fox Hime Zero - MoriChan,Positive,100%,31
888040,Metal Fatigue,Very Positive,96%,86
888070,Railroad Tracks,Mixed,59%,27
888180,"The Defector - Artbook, concept and production asset pack",Positive,96%,32
888260,Dabman: When the Haters Dab Back,Very Positive,94%,85
888360,The Vagrant Artbook,Positive,100%,14
887510,Galencia,Positive,100%,17
887530,President Yukino,Very Positive,83%,166
887730,Horde: Zombie Outbreak,Positive,88%,17
