AppID,App Name,All Review,All Percent,All People
972980,Very Positive,88%,212
970520,Very Positive,85%,"1,358"
965950,Positive,80%,40
962190,Positive,84%,33
961840,Positive,92%,14
968260,Positive,100%,13
968390,Very Positive,90%,60
907160,Mostly Negative,25%,27
907290,Very Positive,87%,189
907330,Positive,100%,12
907370,Overwhelmingly Positive,96%,"1,378"
906590,Positive,84%,25
905730,Positive,92%,14
905940,Mostly Negative,27%,554
905450,Mixed,66%,98
904890,Positive,91%,12
904940,Positive,100%,10
904960,Positive,84%,13
904990,Positive,82%,29
905050,Positive,90%,11
905100,Positive,91%,12
904260,Positive,100%,14
904320,Very Positive,97%,118
904440,Positive,100%,14
904500,Positive,94%,18
904580,Positive,100%,21
904600,Mostly Negative,38%,13
903830,Positive,80%,15
904130,Positive,100%,16
903670,Negative,15%,13
903150,Positive,100%,11
903160,Positive,100%,12
900790,Positive,87%,24
900270,Positive,100%,30
900280,Positive,89%,19
899940,Mostly Positive,76%,42
899970,Overwhelmingly Positive,98%,"1,204"
900050,Positive,86%,30
900090,Positive,92%,14
899760,Positive,87%,33
899270,Positive,100%,21
899540,Mostly Positive,78%,14
898700,Positive,90%,11
898730,Mostly Negative,33%,12
898740,Mostly Positive,75%,64
898780,Positive,94%,35
898960,Positive,83%,24
899100,Positive,92%,14
898350,Positive,100%,10
898450,Very Positive,96%,65
898570,Positive,95%,20
898580,Positive,94%,19
897760,Positive,96%,25
897800,Positive,95%,22
897820,Very Positive,83%,361
898030,Very Positive,83%,118
898090,Positive,100%,13
897300,Mostly Positive,77%,18
897690,Positive,100%,21
896670,Positive,91%,35
896730,Positive,90%,10
896340,Positive,100%,20
896460,Very Positive,100%,71
895920,Mostly Positive,71%,114
895990,Positive,92%,13
896000,Positive,100%,39
896030,Mostly Positive,78%,60
896040,Positive,95%,22
895470,Positive,89%,19
895530,Mostly Positive,78%,14
895600,Very Positive,93%,63
894930,Positive,90%,20
895220,Very Positive,90%,220
894460,Positive,94%,36
894500,Positive,100%,33
894540,Positive,87%,16
894630,Mostly Positive,79%,39
894390,Mostly Positive,70%,17
941100,Very Positive,98%,54
940300,Positive,86%,15
940520,Positive,87%,24
939840,Very Positive,90%,50
940130,0,0,1
939340,Positive,94%,19
939390,Mostly Positive,73%,23
939400,Very Positive,94%,970
939620,Very Positive,98%,54
938940,Negative,6%,29
939000,Positive,83%,49
939060,Positive,96%,28
939070,Positive,95%,24
938490,Positive,94%,36
938810,Positive,95%,20
938030,Positive,95%,24
938250,Mostly Positive,79%,29
938300,Very Positive,95%,61
937890,Very Positive,91%,89
937140,Mostly Positive,78%,19
937210,Very Positive,88%,50
937290,Positive,100%,19
936670,Mixed,51%,88
936750,Mixed,62%,24
935840,Mostly Positive,71%,109
935930,Positive,88%,42
935270,Very Positive,85%,492
935430,Mostly Positive,72%,22
934650,Mostly Positive,78%,14
934900,Mostly Positive,78%,192
935070,Mostly Positive,75%,24
934540,Mostly Positive,77%,27
934070,Positive,100%,20
933610,Very Positive,83%,368
933690,Negative,18%,22
933504,Mostly Positive,73%,38
933450,Very Positive,91%,197
932980,Mostly Positive,72%,94
933080,Mixed,62%,24
932570,Very Positive,90%,53
931920,Positive,100%,15
931930,Positive,91%,23
931980,Positive,84%,13
932000,Very Positive,96%,98
932240,Positive,93%,16
931460,Positive,100%,21
931670,Very Positive,100%,51
930840,Positive,94%,18
930990,Positive,100%,31
930660,Positive,100%,29
930780,Very Positive,81%,74
930100,Positive,93%,16
930200,Mostly Positive,75%,16
930310,Positive,100%,28
930460,Very Positive,87%,238
893770,Positive,96%,33
893150,Mostly Negative,36%,22
893330,Mostly Positive,73%,49
893510,Negative,16%,18
893560,Positive,90%,20
892830,Positive,92%,13
893030,Very Positive,93%,812
893110,Positive,100%,12
892400,Positive,100%,19
892550,Mostly Positive,71%,14
892560,Positive,100%,17
892580,Positive,100%,16
891730,Mixed,63%,219
891810,Mixed,69%,135
891820,Positive,89%,39
891860,Mostly Positive,76%,47
891900,Overwhelmingly Positive,96%,502
891920,Positive,100%,22
891100,Mostly Positive,72%,22
891130,Very Positive,93%,78
891230,Mostly Positive,76%,46
891301,Mixed,47%,21
891510,Very Positive,98%,181
890570,Very Positive,93%,105
890070,Very Positive,98%,71
890300,Positive,87%,24
889590,Mixed,65%,187
889630,Positive,92%,13
889740,Positive,93%,43
889770,Very Positive,89%,73
889800,Positive,91%,12
889820,Positive,96%,30
889170,Positive,100%,21
889220,Positive,80%,21
889240,Positive,87%,24
889270,Positive,100%,12
889320,Positive,85%,21
889480,Very Positive,96%,200
888701,Positive,81%,16
888990,Positive,100%,20
889010,Positive,100%,20
889040,Very Positive,83%,60
888630,Positive,95%,43
888650,Very Positive,80%,85
888680,Mixed,44%,"1,594"
887970,Positive,86%,44
888000,Positive,100%,33
888040,Very Positive,96%,88
888070,Mixed,60%,28
888180,Positive,96%,32
888260,Very Positive,94%,85
888360,Positive,100%,15
887510,Positive,100%,17
887530,Very Positive,83%,174
887730,Positive,88%,17
887850,Mostly Positive,72%,11
887160,Positive,92%,25
887410,Positive,100%,11
886460,Very Positive,87%,119
886750,Mostly Positive,79%,97
886910,Very Positive,92%,51
886930,Positive,100%,22
886040,Mostly Positive,73%,342
886070,Positive,86%,15
886370,Mostly Positive,76%,26
886400,Positive,92%,26
885780,Positive,82%,17
885790,Positive,100%,10
885950,Positive,100%,12
885980,Positive,100%,12
885300,Very Positive,99%,100
885470,Positive,100%,20
885550,Very Positive,84%,53
885630,Mixed,60%,15
885650,Positive,93%,45
885690,Mostly Positive,73%,23
885730,Mostly Negative,23%,42
884960,Positive,100%,14
885090,Negative,5%,19
885120,Positive,87%,24
885130,Positive,87%,24
885140,Mostly Positive,77%,266
884510,Positive,100%,15
884640,Positive,80%,20
949790,Positive,100%,16
950140,Positive,100%,19
950160,Positive,94%,18
949580,Positive,88%,18
949380,Positive,86%,29
948630,Very Positive,84%,156
947930,Positive,100%,24
947300,Very Positive,93%,320
946780,Positive,90%,22
946960,Positive,94%,19
946970,Very Positive,93%,101
947000,Positive,86%,46
946380,Positive,85%,14
946610,Positive,94%,35
946090,Very Positive,87%,78
945190,Very Positive,88%,63
944940,Positive,92%,13
944220,Very Positive,97%,134
944370,Mixed,63%,41
943810,Positive,94%,18
943420,Positive,80%,15
942420,Positive,90%,21
942280,Positive,100%,12
941220,Positive,100%,14
941241,Positive,100%,20
941410,Positive,90%,21
959870,Positive,88%,17
959160,Positive,100%,13
958560,Positive,86%,23
957790,Very Positive,83%,505
955060,Mixed,63%,204
955130,Positive,93%,30
954603,Positive,83%,12
954540,Positive,82%,23
953230,Positive,97%,37
914980,Positive,95%,22
915100,Very Positive,94%,"3,507"
914450,Positive,86%,23
914620,Very Positive,83%,"2,652"
914690,Mostly Positive,78%,139
913910,Positive,94%,19
914000,Positive,93%,15
913590,Positive,93%,16
913810,Positive,100%,21
912890,Mostly Positive,73%,34
913090,Positive,100%,18
912460,Positive,80%,30
912540,Very Positive,91%,69
912560,Mostly Positive,73%,60
912600,Positive,89%,19
912110,Mostly Positive,78%,32
912370,Very Positive,83%,185
911550,Mostly Positive,78%,19
911540,Very Positive,87%,"4,253"
910730,Positive,93%,16
910880,Very Positive,86%,65
910390,Positive,87%,16
909640,Very Positive,96%,52
909720,Mostly Positive,75%,68
909150,Very Positive,91%,90
909420,Very Positive,98%,151
909580,Mostly Positive,70%,24
909610,Positive,100%,17
908650,Positive,94%,17
909080,Overwhelmingly Positive,96%,"1,349"
908520,Very Positive,98%,75
907440,Mixed,68%,25
919680,Very Positive,90%,332
919770,Positive,96%,28
919170,Positive,84%,13
918990,Positive,82%,23
918390,Very Positive,95%,64
918430,Mostly Positive,78%,57
918530,Very Positive,97%,73
918590,Mostly Negative,30%,10
918820,Positive,90%,32
918120,Positive,100%,10
918130,Positive,100%,10
918140,0,0,3
918170,Positive,85%,48
918380,Very Positive,95%,64
917660,Positive,100%,17
916930,Mostly Positive,74%,356
916950,Positive,95%,21
917000,Mostly Positive,73%,23
917013,Positive,100%,14
917290,Positive,97%,48
916390,Mostly Negative,25%,12
916000,Very Positive,91%,81
916040,Positive,100%,27
916130,Mostly Positive,72%,22
915600,Mostly Positive,75%,20
925170,Positive,83%,12
924650,Mostly Positive,70%,199
924710,Positive,100%,12
924890,Positive,91%,36
924240,Mostly Positive,75%,20
924280,Positive,100%,13
923720,Positive,84%,26
923840,Mostly Positive,74%,71
924020,Mostly Negative,27%,36
923470,Very Positive,88%,210
923600,Positive,89%,28
922520,Positive,100%,11
922700,Positive,100%,14
922430,Positive,100%,15
921770,Positive,92%,13
921950,Mostly Negative,34%,297
920810,Mostly Positive,74%,59
920850,Positive,92%,13
920520,Positive,85%,42
920550,Positive,84%,44
920680,Mostly Positive,77%,86
211521,Mixed,66%,12
211600,Very Positive,92%,"1,271"
211720,Very Positive,89%,"1,136"
211740,Very Positive,94%,763
211780,Very Positive,81%,390
211800,Positive,80%,30
211820,Very Positive,91%,"55,814"
211900,Mostly Positive,79%,252
212010,Mostly Positive,71%,724
212030,Mostly Positive,79%,620
212041,Positive,100%,11
212050,Very Positive,91%,298
212110,Mostly Positive,78%,75
212140,Very Positive,92%,576
210944,Positive,89%,28
210945,Positive,92%,27
210950,Very Positive,92%,356
210970,Very Positive,85%,"5,901"
211010,Mostly Positive,78%,52
211050,Mostly Positive,72%,476
211070,Mostly Positive,72%,476
211180,Very Positive,92%,251
211260,Very Positive,87%,"1,845"
211340,Very Positive,92%,576
211360,Very Positive,88%,122
211420,Very Positive,89%,"48,163"
211440,Very Positive,89%,247
210720,Very Positive,86%,334
210740,Very Positive,94%,"1,447"
210770,Very Positive,93%,"6,498"
210870,Very Positive,91%,156
210908,Mostly Positive,76%,123
210931,Positive,84%,38
210932,Positive,86%,23
210933,Very Positive,96%,78
210934,Very Positive,89%,77
210936,Positive,92%,39
210937,Positive,82%,34
210938,Positive,84%,32
210113,Mostly Positive,71%,14
210130,Very Positive,96%,100
210170,Mostly Positive,70%,67
210230,Positive,87%,16
210310,Very Positive,85%,"1,554"
210470,Very Positive,87%,"4,508"
210490,Negative,0%,40
210500,Negative,0%,40
210550,Very Positive,89%,377
209790,Very Positive,89%,159
209811,Mostly Positive,78%,211
209812,Mostly Positive,78%,183
209830,Very Positive,88%,649
209870,Mostly Positive,74%,"16,307"
209872,Mostly Negative,27%,11
209873,Mostly Negative,33%,15
209950,Very Positive,92%,426
209360,Mostly Positive,73%,38
209370,Very Positive,94%,"1,447"
209373,Positive,100%,12
209390,Mostly Negative,22%,40
209460,Very Positive,82%,158
209540,Very Positive,80%,"1,117"
209670,Very Positive,81%,"1,283"
209690,Mostly Positive,75%,84
208981,Positive,80%,10
209060,Very Positive,83%,455
209080,Very Positive,92%,"8,193"
209190,Very Positive,88%,466
209230,Very Positive,83%,115
209270,Mostly Positive,73%,434
208710,Mostly Positive,70%,17
208730,Mostly Positive,71%,"1,094"
208740,Positive,80%,30
208741,Positive,91%,12
208742,Mostly Positive,76%,13
208750,Very Positive,90%,"1,991"
208375,Positive,100%,16
208379,Positive,92%,14
208400,Very Positive,92%,602
208460,Negative,16%,30
208480,Mostly Positive,74%,"9,995"
208500,Very Positive,87%,863
208541,Mostly Positive,78%,14
208544,Positive,90%,21
208575,Very Positive,92%,295
208580,Very Positive,89%,"7,591"
208600,Very Positive,86%,413
208620,Mostly Positive,71%,28
208630,Positive,90%,21
208640,Positive,95%,20
208670,Very Positive,86%,334
208690,Very Positive,82%,84
208302,Positive,82%,23
208303,Positive,85%,21
208306,Positive,83%,24
208318,Positive,100%,10
208319,Positive,100%,13
208346,Mostly Positive,75%,12
208348,Mostly Positive,71%,14
208352,Mostly Positive,77%,31
208363,Positive,90%,20
208364,Positive,90%,31
208365,Mostly Positive,76%,21
208369,Positive,92%,13
207990,Very Positive,84%,494
208010,Very Positive,94%,397
208070,Very Positive,84%,"1,884"
208140,Mostly Positive,79%,"5,625"
208200,Very Positive,82%,"3,001"
208280,Very Positive,90%,62
208282,Positive,80%,10
208283,Positive,86%,22
208284,Positive,88%,18
208286,Positive,88%,43
208287,Mostly Positive,76%,13
208288,Mixed,69%,52
208293,Positive,83%,12
208294,Mostly Positive,76%,13
208296,Positive,93%,16
208298,Positive,100%,11
208300,Very Positive,80%,60
208301,Positive,82%,34
207320,Very Positive,94%,842
207350,Overwhelmingly Positive,95%,"1,520"
207380,Very Positive,91%,140
207400,Very Positive,92%,382
207420,Mostly Positive,77%,401
207490,Very Positive,92%,"1,401"
207510,Very Positive,92%,"1,401"
207530,Very Positive,94%,397
207570,Very Positive,94%,112
207610,Overwhelmingly Positive,96%,"28,452"
207620,Mostly Positive,77%,704
207650,Mostly Positive,71%,57
207690,Overwhelmingly Positive,96%,"2,249"
207730,Mostly Negative,32%,328
207750,Very Positive,87%,723
207770,Very Positive,87%,"2,438"
207790,Mostly Negative,31%,298
207815,Very Positive,93%,629
207816,Very Positive,97%,273
207870,Very Positive,85%,247
207930,Mostly Positive,73%,417
207970,Very Positive,82%,193
207020,Very Positive,82%,193
207040,Very Positive,84%,494
207080,Overwhelmingly Positive,96%,853
207100,Overwhelmingly Positive,96%,"36,523"
207140,Very Positive,94%,"13,259"
207150,Mostly Negative,37%,443
207170,Very Positive,94%,"3,180"
207230,Mostly Positive,73%,"7,698"
207250,Mostly Positive,74%,320
206521,Positive,91%,49
206610,Mostly Negative,36%,122
206650,Very Positive,86%,73
206690,Very Positive,85%,106
206730,Positive,80%,30
206190,Overwhelmingly Positive,97%,"7,917"
206210,Very Positive,84%,"11,005"
206250,Mostly Positive,76%,73
206290,Mostly Positive,78%,164
206370,Very Positive,92%,275
206410,Positive,80%,15
206420,Very Positive,92%,"41,370"
206450,Very Positive,98%,195
206480,Mostly Positive,71%,"2,302"
206500,Very Positive,84%,"8,998"
205690,Mostly Positive,77%,106
205700,Very Positive,83%,"1,091"
205710,Mostly Positive,73%,782
205730,Very Positive,88%,360
205830,Very Positive,97%,84
205840,Very Positive,83%,478
205870,Mostly Positive,79%,104
205910,Very Positive,92%,"2,526"
205950,Very Positive,88%,"1,605"
206020,Positive,84%,44
206040,Mostly Positive,76%,17
206060,Positive,90%,32
205100,Overwhelmingly Positive,96%,"30,441"
205190,Very Positive,89%,373
205230,Very Positive,86%,378
205270,Positive,82%,28
205370,Very Negative,16%,284
205630,Very Positive,87%,55
205632,Positive,92%,13
205633,Mostly Positive,77%,18
205634,Positive,85%,14
205636,Mostly Positive,70%,20
205637,Positive,90%,11
205638,Positive,90%,11
205650,Very Positive,83%,"1,297"
204530,Very Positive,94%,"1,622"
204560,Mostly Negative,32%,73
204580,Positive,80%,15
204600,Mostly Positive,75%,73
204630,Very Positive,90%,"1,564"
204680,Very Positive,81%,"1,182"
204760,Mostly Negative,25%,170
204980,Very Positive,93%,"17,309"
205020,Very Positive,89%,368
205070,Mostly Positive,76%,68
204300,Very Positive,85%,"24,353"
204303,Positive,89%,29
204340,Very Positive,88%,"4,792"
204371,Very Positive,98%,354
204372,Very Positive,97%,395
204385,Mostly Positive,72%,11
204386,Positive,85%,14
204390,Very Positive,83%,74
204410,Very Positive,89%,"4,307"
204440,Very Positive,80%,55
204450,Very Positive,94%,"9,201"
203970,Very Positive,87%,"8,678"
203990,Very Positive,90%,122
204030,Very Positive,91%,"4,070"
204060,Mostly Positive,79%,"1,135"
204100,Very Positive,82%,"20,238"
204120,Very Positive,86%,496
204180,Very Positive,84%,"1,884"
204182,Positive,83%,12
204220,Mostly Positive,73%,41
204240,Very Positive,89%,"2,459"
204260,Overwhelmingly Positive,95%,"11,189"
204290,Mostly Positive,78%,14
203350,Mostly Positive,79%,458
203510,Very Positive,86%,572
203530,Very Positive,86%,572
203560,Very Positive,90%,113
203630,Very Positive,86%,676
203650,Very Positive,80%,568
203670,Mostly Negative,24%,45
203680,Mostly Positive,78%,450
203750,Very Positive,85%,"1,554"
203770,Very Positive,90%,"20,187"
203773,Mostly Positive,76%,26
203774,Mostly Negative,30%,10
203776,Mostly Negative,33%,119
203778,Mostly Positive,73%,79
203810,Mostly Positive,79%,"3,852"
203830,Very Positive,86%,"1,113"
203210,Very Positive,92%,572
203290,Mostly Positive,77%,"8,183"
202290,Very Positive,84%,252
202410,Very Positive,86%,73
202485,Very Positive,82%,"2,101"
202523,Positive,93%,15
202570,Very Positive,90%,"3,129"
202610,Mostly Positive,76%,"1,486"
202670,Positive,88%,42
202690,Very Positive,96%,100
202710,Mostly Positive,72%,565
202730,Very Positive,90%,115
202750,Mostly Positive,70%,"3,439"
202070,Very Positive,87%,162
202170,Very Positive,93%,"9,295"
202181,Positive,81%,43
202200,Mostly Positive,77%,711
201570,Mostly Positive,74%,194
201680,Very Positive,92%,"6,869"
201720,Mostly Negative,34%,191
201790,Very Positive,94%,"8,960"
201802,Positive,89%,39
201804,Positive,92%,25
201805,Positive,92%,26
201870,Very Positive,84%,"5,843"
201010,Positive,93%,49
201060,Mostly Negative,38%,119
201090,Very Positive,81%,64
201100,Positive,90%,10
201120,Very Positive,80%,70
201210,Mostly Positive,72%,531
201230,Mostly Positive,73%,"1,126"
201271,Very Positive,96%,128
201272,Positive,88%,26
201290,Mostly Positive,76%,470
201310,Very Positive,92%,"1,012"
201330,Very Positive,90%,"3,130"
201420,Very Positive,86%,483
201490,Very Negative,16%,284
201510,Overwhelmingly Negative,12%,"1,773"
200510,Very Positive,94%,"25,273"
200550,Mostly Negative,38%,119
200570,Very Positive,82%,359
200590,Mostly Positive,77%,102
200610,Positive,90%,10
200650,Very Positive,88%,50
200670,Mostly Negative,34%,86
200710,Very Positive,94%,"21,789"
200891,Positive,87%,16
200900,Overwhelmingly Positive,95%,"2,878"
200910,Very Positive,88%,921
200940,Very Positive,91%,"1,802"
200960,Very Positive,93%,221
200980,Positive,92%,28
200990,Positive,88%,25
201000,Positive,100%,18
200130,Mostly Positive,77%,162
200170,Very Positive,84%,"2,885"
200210,Very Positive,83%,"27,794"
200240,Very Positive,94%,"16,667"
200440,Mostly Positive,77%,75
113020,Very Positive,92%,"3,426"
113200,Overwhelmingly Positive,95%,"33,137"
